generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1783895071-d89UzjIe6Thp5F4BCto8,2026-07-12 22:24:31.150,0.015005,,-0.214648,,0,188714,106,0,188288,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9396,7790,OpenCode,Default key,false
gen-1783895057-DSDXrIaer3i9gh9sYOM5,2026-07-12 22:24:17.152,0.015379,,-0.214137,,0,188301,405,0,187840,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,13723,6976,OpenCode,Default key,false
gen-1783895054-KAANkpaonL0BwvV78bAB,2026-07-12 22:24:14.038,0.01771,,-0.130176,,0,173587,135,0,173568,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,37441,1363,OpenCode,Default key,false
gen-1783895050-SzfpWq7YWstz2LWwrA6E,2026-07-12 22:24:10.266,0.017778,,-0.12984,,0,173534,46,0,173120,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,3141,1641,OpenCode,Default key,false
gen-1783895049-i4P76iihl4d6ELKQW1SF,2026-07-12 22:24:09.695,0.014761,,-0.213991,,0,187881,37,0,187712,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7228,6702,OpenCode,Default key,false
gen-1783895040-yNmjLDNJzSmClYVLWIQF,2026-07-12 22:24:00.983,0.015254,,-0.21224,,0,187770,48,0,186176,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8415,7421,OpenCode,Default key,false
gen-1783895021-ZZX8XdWitZwLHqk3z8c6,2026-07-12 22:23:41.430,0.017519,,-0.129696,,0,173095,34,0,172928,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,28097,27416,OpenCode,Default key,false
gen-1783895002-WmU2sRpqxxRknFrrwDbP,2026-07-12 22:23:22.834,0.01693,,-0.211146,,0,186189,1572,0,185216,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,37926,7091,OpenCode,Default key,false
gen-1783894994-Dd0zIkcXzaLJRmKWWyDZ,2026-07-12 22:23:14.322,0.014606,,-0.210854,,0,185269,38,0,184960,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8269,7721,OpenCode,Default key,false
gen-1783894985-LN0WYLfOTNmnIDBBcbfJ,2026-07-12 22:23:05.591,0.14569,,-0.001728,,0,172987,152,78,2304,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,35092,18894,OpenCode,Default key,false
gen-1783894985-FOleL2F4dDDmvhQz2Zd2,2026-07-12 22:23:05.303,0.014726,,-0.210197,,0,184963,77,0,184384,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8712,7165,OpenCode,Default key,false
gen-1783894967-l3STISgSh2D9crI1kRfc,2026-07-12 22:22:47.324,0.015165,,-0.209978,,0,184424,531,0,184192,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,17741,7089,OpenCode,Default key,false
gen-1783894959-3aiLmEo3RMmy1IqP3cpQ,2026-07-12 22:22:39.596,0.014498,,-0.20976,,0,184232,37,0,184000,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7499,6793,OpenCode,Default key,false
gen-1783894950-QjzRHghg6oWk7WT8nDYT,2026-07-12 22:22:30.832,0.014524,,-0.209395,,0,184011,44,0,183680,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8524,7648,OpenCode,Default key,false
gen-1783894936-1im79n7VSdCBgqaWwHjk,2026-07-12 22:22:16.586,0.01486,,-0.208884,,0,183731,272,0,183232,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,14022,8376,OpenCode,Default key,false
gen-1783894918-bjpuXgFZRPvNgSkAOoMJ,2026-07-12 22:21:58.641,0.015011,,-0.208519,,0,183274,449,0,182912,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,17665,9383,OpenCode,Default key,false
gen-1783894910-cJMbVXCJwyCbvSd0dxZd,2026-07-12 22:21:50.537,0.014534,,-0.207863,,0,182964,37,0,182336,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7885,7273,OpenCode,Default key,false
gen-1783894902-32vkjTY2yQOI2XQEdSXc,2026-07-12 22:21:42.347,0.014999,,-0.205601,,0,182394,56,0,180352,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7947,7020,OpenCode,Default key,false
gen-1783894894-n3ZbbBNYIlKlJuAj5EqG,2026-07-12 22:21:34.206,0.018642,,-0.129456,,0,172669,532,0,172608,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,stop,stop,86469,1743,OpenCode,Default key,false
gen-1783894856-Hwlcfa712ygHH9LR2s1e,2026-07-12 22:20:56.857,0.01732,,-0.203704,,0,180352,2033,0,178688,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,45285,7401,OpenCode,Default key,false
gen-1783894849-K7Uro9gJHHoJYwyiBV5g,2026-07-12 22:20:49.414,0.014181,,-0.20312,,0,178735,37,0,178176,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7169,6494,OpenCode,Default key,false
gen-1783894848-kgDq95DMpnbX0w09QctS,2026-07-12 22:20:48.721,0.143923,,-0.002928,,0,172584,62,0,3904,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,44713,15752,OpenCode,Default key,false
gen-1783894840-LiAqWJmKbF8R0D6n2kao,2026-07-12 22:20:40.790,0.014174,,-0.202536,,0,178201,69,0,177664,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8368,7083,OpenCode,Default key,false
gen-1783894827-NZgYTphsMRtiq9QZPq2d,2026-07-12 22:20:27.867,0.014242,,-0.202099,,0,177702,180,0,177280,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,12700,9415,OpenCode,Default key,false
gen-1783894822-BCY68BxuoOY9qlK4Foxk,2026-07-12 22:20:22.848,0.143745,,-0.002928,,0,172410,50,0,3904,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,24999,19101,OpenCode,Default key,false
gen-1783894819-bqvuOzkmG3ivur4hRaUp,2026-07-12 22:20:19.866,0.013927,,-0.201953,,0,177296,37,0,177152,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7775,7177,OpenCode,Default key,false
gen-1783894810-L5ZCqWZz4E7lgJ1cxqZ3,2026-07-12 22:20:10.250,0.014943,,-0.198451,,0,177154,56,0,174080,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9376,7925,OpenCode,Default key,false
gen-1783894751-Ug4yHsZ23BAa6GUdW6n7,2026-07-12 22:19:11.200,0.017709,,-0.198013,,0,174131,3014,0,173696,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,58837,7083,OpenCode,Default key,false
gen-1783894742-foth49sh7lSXC2bn5tbN,2026-07-12 22:19:02.991,0.013883,,-0.197064,,0,173701,37,0,172864,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7972,7279,OpenCode,Default key,false
gen-1783894721-Mylw7MGJjrh36f33CTnm,2026-07-12 22:18:40.974,0.021315,,-0.173425,,0,172924,542,353,152128,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,21639,9858,OpenCode,Default key,false
gen-1783894602-9KlFEw5c4Vz2QdmQRGRi,2026-07-12 22:16:42.137,0.145119,,-0.002928,,0,172250,654,549,3904,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,219744,17663,OpenCode,Default key,false
gen-1783894253-7DUOWJ1sNBEQkYMjePJU,2026-07-12 22:10:53.117,0.024984,,-0.055858,,0,177969,4618,3997,163329,z-ai/glm-5.2-20260616,StreamLake,standard,false,true,,stop,stop,48771,7432,OpenCode,Default key,false
gen-1783894130-OXWN43tmP0Ril8vzYZqJ,2026-07-12 22:08:50.259,0.142406,,-0.002928,,0,170290,235,0,3904,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,216617,40333,OpenCode,Default key,false
gen-1783894074-rDMuhtRb95oYT6Gtwewy,2026-07-12 22:07:54.498,0.018092,,-0.126336,,0,169701,73,0,168448,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,54810,5875,OpenCode,Default key,false
gen-1783893924-r4yjm6aPXkLw7a9dqFd3,2026-07-12 22:05:24.154,0.023509,,-0.054678,,0,174012,3866,3156,159880,z-ai/glm-5.2-20260616,StreamLake,standard,false,true,,tool_calls,tool_calls,63221,6520,OpenCode,Default key,false
gen-1783893755-rvzloq3rlhuAMwaZhFSv,2026-07-12 22:02:35.190,0.141002,,-0.002928,,0,168465,294,266,3904,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,318350,43626,OpenCode,Default key,false
gen-1783893727-8hZVHgzSiZ8PkhqlUJzt,2026-07-12 22:02:07.069,0.026386,,-0.048347,,0,171932,1911,1104,141368,z-ai/glm-5.2-20260616,StreamLake,standard,false,true,,tool_calls,tool_calls,40165,11667,OpenCode,Default key,false
gen-1783893717-cRzQ2gjezmceOTQgJ6WZ,2026-07-12 22:01:57.251,0.018287,,-0.053728,,0,170851,196,196,157102,z-ai/glm-5.2-20260616,StreamLake,standard,false,true,,tool_calls,tool_calls,9565,6307,OpenCode,Default key,false
gen-1783893700-z9hjh2jfnlEElbAztIli,2026-07-12 22:01:40.626,0.023867,,-0.047825,,0,170069,200,200,139840,z-ai/glm-5.2-20260616,StreamLake,standard,false,true,,tool_calls,tool_calls,15504,11917,OpenCode,Default key,false
gen-1783893690-9WyObfbbMCNXPkzat950,2026-07-12 22:01:30.591,0.014209,,-0.190863,,0,169515,206,0,167424,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9811,6657,OpenCode,Default key,false
gen-1783893672-kMmaCpzyk8ouhr5U6Wz9,2026-07-12 22:01:12.071,0.0143,,-0.189404,,0,167464,596,464,166144,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,18240,6616,OpenCode,Default key,false
gen-1783893662-rla1u4UN0f9KV2VE6gRU,2026-07-12 22:01:02.292,0.013583,,-0.188236,,0,166183,195,0,165120,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9497,6426,OpenCode,Default key,false
gen-1783893651-RUmGLGLJN3wNksJs6ioJ,2026-07-12 22:00:51.469,0.143659,,-0.000048,,0,167803,430,0,64,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,stop,stop,29000,15612,OpenCode,Default key,false
gen-1783893615-xg7FZ5Xd8xqhBq9hMfhB,2026-07-12 22:00:15.168,0.069055,,-0.005399,,0,165146,995,919,4736,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,46895,27765,OpenCode,Default key,false
gen-1783893578-Q4SkBbOih1wyT3FQy6Fm,2026-07-12 21:59:38.665,0.142697,,,,0,167756,42,0,0,z-ai/glm-5.2-20260616,Inceptron,standard,false,true,,tool_calls,tool_calls,55451,26550,OpenCode,Default key,false
gen-1783893570-1QCPqbwjrN92E2uxgthw,2026-07-12 21:59:30.329,0.01316,,-0.19152,,0,168058,24,0,168000,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7813,7251,OpenCode,Default key,false
gen-1783893558-YympydAFZ3lfoYyqZbNg,2026-07-12 21:59:18.145,0.013178,,-0.191447,,0,168008,37,0,167936,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7610,6693,OpenCode,Default key,false
gen-1783893550-KItrJFmigjOe61nruDNV,2026-07-12 21:59:10.319,0.013249,,-0.191155,,0,167951,43,0,167680,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7281,6290,OpenCode,Default key,false
gen-1783893538-eCOwVjEtg4xf43AnA0jk,2026-07-12 21:58:58.078,0.013358,,-0.191155,,0,167743,192,0,167680,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,11712,6687,OpenCode,Default key,false
gen-1783893530-pq4ufOggLolSlQNvLmAt,2026-07-12 21:58:50.090,0.013169,,-0.191009,,0,167684,34,0,167552,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7440,6713,OpenCode,Default key,false
gen-1783893519-B4NjcTOrIYEDmMpEq9bd,2026-07-12 21:58:39.158,0.013191,,-0.190863,,0,167607,42,0,167424,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8298,7150,OpenCode,Default key,false
gen-1783893506-QjQDe67dztzTeyi67dp3,2026-07-12 21:58:26.724,0.013199,,-0.190717,,0,167481,55,0,167296,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,11894,9127,OpenCode,Default key,false
gen-1783893491-XkLKb12I20qhOieEXbHl,2026-07-12 21:58:11.043,0.013338,,-0.190425,,0,167331,142,32,167040,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,15036,7545,OpenCode,Default key,false
gen-1783893470-Unms3Jqs4hElHSYBi8Mt,2026-07-12 21:57:50.506,0.01347,,-0.189914,,0,167063,211,0,166592,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,18802,7618,OpenCode,Default key,false
gen-1783893429-srLTFIw8o7D8pbprY3vz,2026-07-12 21:57:09.322,0.020654,,-0.166056,,0,166614,374,184,145664,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,29701,10042,OpenCode,Default key,false
gen-1783893019-fuqVPRCa9PV6mUz20YLj,2026-07-12 21:50:19.918,0.011619,,-0.165473,,0,145711,48,0,145152,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9508,7208,OpenCode,Default key,false
gen-1783893003-1caRsE5LKajEYojAxkUJ,2026-07-12 21:50:03.288,0.011976,,-0.164743,,0,145209,312,0,144512,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,16094,6128,OpenCode,Default key,false
gen-1783892994-bVF47FWcVfJZwlJplaoW,2026-07-12 21:49:54.751,0.011363,,-0.16467,,0,144542,43,0,144448,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8015,6444,OpenCode,Default key,false
gen-1783892983-5PtETc11DTAu0X6979Wt,2026-07-12 21:49:43.056,0.011382,,-0.164524,,0,144491,41,0,144320,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,11101,10111,OpenCode,Default key,false
gen-1783892963-JO05FC5uKa6e8hhLwFzd,2026-07-12 21:49:23.217,0.011667,,-0.163649,,0,144326,110,30,143552,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9235,6092,OpenCode,Default key,false
gen-1783892917-D3iAG0OhvN9BxCJTn5BD,2026-07-12 21:48:37.951,0.011313,,-0.163576,,0,143560,69,0,143488,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8684,6896,OpenCode,Default key,false
gen-1783892909-n4Fwk1hj0xzP2n1Dd8R1,2026-07-12 21:48:29.644,0.011298,,-0.16343,,0,143509,41,0,143360,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7663,6593,OpenCode,Default key,false
gen-1783892886-xaUNipdUyjSaMgV24BHE,2026-07-12 21:48:06.024,0.011384,,-0.163065,,0,143397,59,0,143040,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,7722,6570,OpenCode,Default key,false
gen-1783892752-RBbLiHzo4W7xgFjlMPFg,2026-07-12 21:45:52.472,0.012929,,-0.158177,,0,143103,212,90,138752,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,12915,6815,OpenCode,Default key,false
gen-1783892736-VVACI3figO3YlbtAOPQc,2026-07-12 21:45:35.864,0.011578,,-0.16219,,0,143309,35,0,142272,z-ai/glm-5.2-20260616,Novita,standard,false,true,,stop,stop,8129,7265,OpenCode,Default key,false
gen-1783892384-pS7EBlryfbFAajVgjc1L,2026-07-12 21:39:44.339,0.058306,,-0.009192,,0,142281,990,34,8064,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,47120,14164,OpenCode,Default key,false
gen-1783892019-s4NHL6uC4Z0qOZAEeHsf,2026-07-12 21:33:39.358,0.01143,,-0.161533,,0,141835,242,0,141696,z-ai/glm-5.2-20260616,Novita,standard,false,true,,stop,stop,13412,6892,OpenCode,Default key,false
gen-1783892009-KODjmYxMnZSgXkxMso9k,2026-07-12 21:33:29.815,0.011258,,-0.161241,,0,141739,76,0,141440,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8910,7064,OpenCode,Default key,false
gen-1783891995-7E9X9xvxg5R2eyDwuWiQ,2026-07-12 21:33:15.116,0.011414,,-0.160584,,0,141489,125,0,140864,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,9853,6644,OpenCode,Default key,false
gen-1783891981-0CF0YckkTP71J1h9qaD4,2026-07-12 21:33:00.924,0.01149,,-0.16022,,0,140922,280,0,140544,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,13268,6318,OpenCode,Default key,false
gen-1783891935-m6oSFq1nbnyAPcvvLhaN,2026-07-12 21:32:15.984,0.011501,,-0.160001,,0,140561,353,0,140352,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,44330,14633,OpenCode,Default key,false
gen-1783891924-5MUy5LdVJi4beIuqmBRO,2026-07-12 21:32:04.498,0.011202,,-0.159928,,0,140388,165,0,140288,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,10927,6427,OpenCode,Default key,false
gen-1783891915-9mjGvs2KkYgZbMBARGVU,2026-07-12 21:31:55.310,0.011121,,-0.159709,,0,140296,83,0,140096,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,8556,6420,OpenCode,Default key,false
gen-1783891910-HveyWxfvY9a3lVlsUHHW,2026-07-12 21:31:50.076,0.013186,,-0.187434,,0,164550,232,0,164416,z-ai/glm-5.2-20260616,Novita,standard,false,true,,stop,stop,10748,6178,OpenCode,Default key,false
gen-1783891902-DD0E3xmaMK5ljU9HWlqW,2026-07-12 21:31:42.506,0.011218,,-0.15949,,0,140127,161,0,139904,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,12247,8096,OpenCode,Default key,false
gen-1783891882-Wj50dzmEH0iTWHy1oEYJ,2026-07-12 21:31:22.222,0.013154,,-0.186777,,0,164454,89,0,163840,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,27478,25502,OpenCode,Default key,false
gen-1783891874-9WTaXbVziuBXLZG7lpBr,2026-07-12 21:31:14.723,0.011201,,-0.159344,,0,139947,172,0,139776,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,27152,13126,OpenCode,Default key,false
gen-1783891861-Ym51odDOI1ynj5f1xhtI,2026-07-12 21:31:01.288,0.013573,,-0.186631,,0,163875,557,0,163712,z-ai/glm-5.2-20260616,Novita,standard,false,true,,tool_calls,tool_calls,17931,6272,OpenCode,Default key,false
